word,kata_keterangan,preposisi,kata_kerja,interjeksi,kata_ganti,konjungsi,kata_sifat,kata_benda,kata_bilangan
permen,0,0,0,0,0,0,0,0,0
talkin,0,0,0,0,0,0,0,0,0
tanah,0,0,0,0,0,0,0,0,0
tanih,0,0,0,0,0,0,0,0,0
mengairi,0,0,1,0,0,0,0,0,0
perairan,0,0,0,0,0,0,0,1,0
keairan,0,0,1,0,0,0,0,0,0
aja,0,0,0,0,0,0,0,0,0
ajab,0,0,0,0,0,0,1,0,0
mengajaibkan,0,0,1,0,0,0,0,0,0
ajaib,0,0,0,0,0,0,0,0,0
ajak,0,0,1,0,0,0,0,0,0
mengajak,0,0,1,0,0,0,0,0,0
mengajakkan,0,0,1,0,0,0,0,0,0
ajal,0,0,0,0,0,0,0,1,0
akbar,0,0,0,0,0,0,1,0,0
akh,0,0,0,0,0,0,0,0,0
akhbar,0,0,0,0,0,0,0,1,0
ajar,0,0,0,0,0,0,0,1,0
belajar,0,0,1,0,0,0,0,0,0
tuntas,0,0,0,0,0,0,0,0,0
membelajarkan,0,0,1,0,0,0,0,0,0
pembelajar,0,0,0,0,0,0,0,1,0
pembelajaran,0,0,0,0,0,0,0,1,0
pemelajaran,0,0,0,0,0,0,0,1,0
mengajar,0,0,1,0,0,0,0,0,0
terpelajar,0,0,1,0,0,0,0,0,0
keterpelajaran,0,0,0,0,0,0,0,1,0
ajaran,0,0,0,0,0,0,0,1,0
pelajar,0,0,0,0,0,0,0,1,0
pelajaran,0,0,0,0,0,0,0,1,0
mempelajari,0,0,1,0,0,0,0,0,0
pengajaran,0,0,0,0,0,0,0,1,0
ajar-ajar,0,0,0,0,0,0,0,0,0
ajek,0,0,0,0,0,0,0,0,0
ajengan,0,0,0,0,0,0,0,0,0
aji,0,0,0,0,0,0,1,0,0
aji-aji,0,0,0,0,0,0,0,1,0
ajigineng,0,0,0,0,0,0,0,0,0
ajir,0,0,0,0,0,0,0,1,0
ajisaka,0,0,0,0,0,0,0,1,0
ajnabi,0,0,0,0,0,0,0,0,0
ajnas,0,0,0,0,0,0,0,0,0
ajojing,0,0,0,0,0,0,0,0,0
berajojing,0,0,1,0,0,0,0,0,0
ajre,0,0,0,0,0,0,0,0,0
ajudan,0,0,0,0,0,0,0,1,0
ajujah,0,0,0,0,0,0,0,1,0
ajuk,0,0,1,0,0,0,0,0,0
mengajuk,0,0,1,0,0,0,0,0,0
keajukan,0,0,0,0,0,0,0,1,0
ajun,0,0,0,0,0,0,0,0,0
terajun,0,0,1,0,0,0,0,0,0
mengajun,0,0,1,0,0,0,0,0,0
akor,0,0,0,0,0,0,0,0,0
apraksi,0,0,0,0,0,0,0,1,0
ajur,0,0,1,0,0,0,0,0,0
ajuster,0,0,0,0,0,0,0,1,0
akad,0,0,0,0,0,0,0,1,0
akaid,0,0,0,0,0,0,0,0,0
akak,0,0,0,0,0,0,0,0,0
akal,0,0,0,0,0,0,0,1,0
buaya,0,0,0,0,0,0,0,0,0
berakal,0,0,1,0,0,0,0,0,0
seakal-akal,1,0,0,0,0,0,0,0,0
akan,1,0,0,0,0,0,0,0,0
akan-akan,0,0,0,0,0,0,1,0,0
berakan,0,0,1,0,0,0,0,0,0
mengakan,0,0,1,0,0,0,0,0,0
mengakankan,0,0,1,0,0,0,0,0,0
akanan,0,0,0,0,0,0,0,0,0
keakanan,0,0,0,0,0,0,0,1,0
seakan-akan,1,0,0,0,0,0,0,0,0
berseakan,0,0,1,0,0,0,0,0,0
keseakanan,0,0,0,0,0,0,0,1,0
akang,0,0,0,0,0,0,0,0,0
akar,0,0,0,0,0,0,0,1,0
perakaran,0,0,0,0,0,0,0,1,0
akas,0,0,0,0,0,0,1,0,0
keakasan,0,0,0,0,0,0,0,1,0
akhir,0,0,0,0,0,0,0,1,0
mengakhiri,0,0,1,0,0,0,0,0,0
mengakhirkan,0,0,1,0,0,0,0,0,0
akhiran,0,0,0,0,0,0,0,0,0
pengakhiran,0,0,0,0,0,0,0,1,0
akhirnya,1,0,0,0,0,0,0,0,0
akhir-akhirnya,1,0,0,0,0,0,0,0,0
akhirat,0,0,0,0,0,0,0,1,0
akhirulkalam,0,0,0,0,0,0,0,1,0
akhirusanah,0,0,0,0,0,0,0,1,0
akhlak,0,0,0,0,0,0,0,1,0
akhlaki,0,0,0,0,0,0,1,0,0
akhtaj,0,0,0,0,0,0,0,0,0
akhwat,0,0,0,0,0,0,0,0,0
aki,0,0,0,0,0,0,0,1,0
aki-aki,0,0,0,0,0,0,0,1,0
akibat,0,0,0,0,0,0,0,1,0
berakibatkan,0,0,1,0,0,0,0,0,0
mengakibatkan,0,0,1,0,0,0,0,0,0
akibatnya,0,0,0,0,0,0,0,1,0
akidah,0,0,0,0,0,0,0,0,0
akik,0,0,0,0,0,0,0,1,0
akikah,0,0,0,0,0,0,0,0,0
akil,0,0,0,0,0,0,0,0,0
aklamasi,0,0,0,0,0,0,0,1,0
aklasia,0,0,0,0,0,0,0,0,0
akli,0,0,0,0,0,0,1,0,0
akliah,0,0,0,0,0,0,1,0,0
aklimatisasi,0,0,0,0,0,0,0,1,0
akmal,0,0,0,0,0,0,1,0,0
akolade,0,0,0,0,0,0,0,1,0
akomodasi,0,0,0,0,0,0,0,1,0
mengakomodasi,0,0,1,0,0,0,0,0,0
akomodatif,0,0,0,0,0,0,1,0,0
akrab,0,0,0,0,0,0,1,0,0
mengakrabkan,0,0,1,0,0,0,0,0,0
mengakrabi,0,0,1,0,0,0,0,0,0
keakraban,0,0,0,0,0,0,0,1,0
akriflavina,0,0,0,0,0,0,0,0,0
akrilat,0,0,0,0,0,0,0,0,0
akrilik,0,0,0,0,0,0,0,0,0
akrobat,0,0,0,0,0,0,0,1,0
akrobatik,0,0,0,0,0,0,0,1,0
akrofobia,0,0,0,0,0,0,0,0,0
akromion,0,0,0,0,0,0,0,0,0
